,year,biomass,Index,forecast_round
0,2018,4.181506,0,4.1815
0,2018,42.524784,1,42.5248
0,2018,43.767887,2,43.7679
0,2018,74.734856,3,74.7349
0,2018,19.515646,4,19.5156
0,2018,24.287136,5,24.2871
0,2018,33.62583,6,33.6258
0,2018,37.587227,7,37.5872
0,2018,26.320133,8,26.3201
0,2018,36.274498,9,36.2745
0,2018,6.2742376,10,6.2742
0,2018,9.077677,11,9.0777
0,2018,10.004976,12,10.005
0,2018,0.16193235,13,0.1619
0,2018,0.41011927,14,0.4101
0,2018,24.15833,15,24.1583
0,2018,82.669586,16,82.6696
0,2018,124.31412,17,124.3141
0,2018,116.61294,18,116.6129
0,2018,62.702778,19,62.7028
0,2018,72.04713,20,72.0471
0,2018,91.6606,21,91.6606
0,2018,88.90895,22,88.909
0,2018,80.96819,23,80.9682
0,2018,83.51097,24,83.511
0,2018,64.53118,25,64.5312
0,2018,30.977089,26,30.9771
0,2018,33.828545,27,33.8285
0,2018,3.0434008,28,3.0434
0,2018,0.23419383,29,0.2342
0,2018,25.562445,30,25.5624
0,2018,59.988693,31,59.9887
0,2018,123.966125,32,123.9661
0,2018,154.26405,33,154.2641
0,2018,72.964134,34,72.9641
0,2018,69.885864,35,69.8859
0,2018,146.3021,36,146.3021
0,2018,129.1582,37,129.1582
0,2018,92.83368,38,92.8337
0,2018,61.070885,39,61.0709
0,2018,89.19478,40,89.1948
0,2018,78.84989,41,78.8499
0,2018,98.908585,42,98.9086
0,2018,24.23152,43,24.2315
0,2018,2.4222753,44,2.4223
0,2018,0.11625605,45,0.1163
0,2018,0.45846605,46,0.4585
0,2018,10.948623,47,10.9486
0,2018,80.39924,48,80.3992
0,2018,122.57562,49,122.5756
0,2018,91.31894,50,91.3189
0,2018,85.92678,51,85.9268
0,2018,71.3824,52,71.3824
0,2018,170.51183,53,170.5118
0,2018,121.45145,54,121.4515
0,2018,93.82657,55,93.8266
0,2018,144.23021,56,144.2302
0,2018,89.977135,57,89.9771
0,2018,70.027626,58,70.0276
0,2018,83.9457,59,83.9457
0,2018,57.18006,60,57.1801
0,2018,17.17856,61,17.1786
0,2018,19.648663,62,19.6487
0,2018,24.117096,63,24.1171
0,2018,7.1854053,64,7.1854
0,2018,9.051043,65,9.051
0,2018,10.70323,66,10.7032
